Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Actual,Predicted,Probability,Outcome
36,Travel_Rarely,318,Research & Development,9,3,Medical,1,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,80,1,2,0,2,1,0,0,0,1,0,0.09208425,False Negative
28,Non-Travel,1366,Research & Development,24,2,Technical Degree,1,2,Male,72,2,3,Healthcare Representative,1,Single,8722,12355,1,No,12,3,1,80,0,10,2,2,10,7,1,9,1,0,0.08035743,False Negative
29,Travel_Rarely,1092,Research & Development,1,4,Medical,1,1,Male,36,3,1,Research Scientist,4,Married,4787,26124,9,Yes,14,3,2,80,3,4,3,4,2,2,2,2,1,0,0.077148706,False Negative
51,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,1,Male,34,3,1,Research Scientist,3,Married,2461,10332,9,Yes,12,3,3,80,3,18,2,4,10,0,2,7,1,0,0.07556284,False Negative
22,Travel_Frequently,1256,Research & Development,3,4,Life Sciences,1,3,Male,48,2,1,Research Scientist,4,Married,2853,4223,0,Yes,11,3,2,80,1,1,5,3,0,0,0,0,1,0,0.06548717,False Negative
21,Travel_Rarely,1427,Research & Development,18,1,Other,1,4,Female,65,3,1,Research Scientist,4,Single,2693,8870,1,No,19,3,1,80,0,1,3,2,1,0,0,0,1,0,0.06398254,False Negative
56,Travel_Rarely,441,Research & Development,14,4,Life Sciences,1,2,Female,72,3,1,Research Scientist,2,Married,4963,4510,9,Yes,18,3,1,80,3,7,2,3,5,4,4,3,1,0,0.05337842,False Negative
32,Travel_Rarely,515,Research & Development,1,3,Life Sciences,1,4,Male,62,2,1,Laboratory Technician,3,Single,3730,9571,0,Yes,14,3,4,80,0,4,2,1,3,2,1,2,1,0,0.05248018,False Negative
58,Travel_Rarely,289,Research & Development,2,3,Technical Degree,1,4,Male,51,3,1,Research Scientist,3,Single,2479,26227,4,No,24,4,1,80,0,7,4,3,1,0,0,0,1,0,0.047429603,False Negative
31,Travel_Rarely,330,Research & Development,22,4,Medical,1,4,Male,98,3,2,Manufacturing Director,3,Married,6179,21057,1,Yes,15,3,4,80,2,10,3,2,10,2,6,7,1,0,0.040457346,False Negative
34,Travel_Rarely,699,Research & Development,6,1,Medical,1,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,80,0,8,2,3,4,2,1,3,1,0,0.038905967,False Negative
58,Travel_Rarely,147,Research & Development,23,4,Medical,1,4,Female,94,3,3,Healthcare Representative,4,Married,10312,3465,1,No,12,3,4,80,1,40,3,2,40,10,15,6,1,0,0.028752498,False Negative
51,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,1,Male,53,1,3,Manufacturing Director,4,Single,10650,25150,2,No,15,3,4,80,0,18,2,3,4,2,0,3,1,0,0.022069689,False Negative
41,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,80,0,23,0,3,22,15,15,8,1,0,0.015023657,False Negative
44,Travel_Rarely,1376,Human Resources,1,2,Medical,1,2,Male,91,2,3,Human Resources,1,Married,10482,2326,9,No,14,3,4,80,1,24,1,3,20,6,3,6,1,0,0.014265041,False Negative
29,Travel_Rarely,992,Research & Development,1,3,Technical Degree,1,3,Male,85,3,1,Research Scientist,3,Single,2058,19757,0,No,14,3,4,80,0,7,1,2,6,2,1,5,1,0,0.009152024,False Negative
53,Travel_Rarely,607,Research & Development,2,5,Technical Degree,1,3,Female,78,2,3,Manufacturing Director,4,Married,10169,14618,0,No,16,3,2,80,1,34,4,3,33,7,1,9,1,0,0.009044587,False Negative
